[2026-02-14 12:48:38] [IP:192.168.1.10] [USER:GUEST] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: , Got: 
[2026-02-15 00:06:29] [IP:::1] [USER:18] [EVENT:RATE_LIMIT_EXCEEDED] Action: complete_ticket, Limit: 20
[2026-02-15 00:06:32] [IP:::1] [USER:18] [EVENT:RATE_LIMIT_EXCEEDED] Action: complete_ticket, Limit: 20
[2026-02-15 01:22:06] [IP:::1] [USER:18] [EVENT:RATE_LIMIT_EXCEEDED] Action: set_window_status, Limit: 10
[2026-02-15 01:22:08] [IP:::1] [USER:18] [EVENT:RATE_LIMIT_EXCEEDED] Action: set_window_status, Limit: 10
[2026-02-15 01:22:12] [IP:::1] [USER:18] [EVENT:RATE_LIMIT_EXCEEDED] Action: set_window_status, Limit: 10
[2026-02-15 01:22:20] [IP:::1] [USER:18] [EVENT:RATE_LIMIT_EXCEEDED] Action: set_window_status, Limit: 10
[2026-02-15 03:46:02] [IP:::1] [USER:18] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d43449748837999f76aac784ec2adc01caebd95f7e842f3927fd0c31df996540, Got: 
[2026-02-15 15:53:14] [IP:::1] [USER:28] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d9eb08f59096e59a601a8834c8b3bf59f74f94252b51c7678489ed2596c12c73, Got: 
[2026-02-15 15:53:16] [IP:::1] [USER:28] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d9eb08f59096e59a601a8834c8b3bf59f74f94252b51c7678489ed2596c12c73, Got: 
[2026-02-15 15:53:18] [IP:::1] [USER:28] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d9eb08f59096e59a601a8834c8b3bf59f74f94252b51c7678489ed2596c12c73, Got: 
[2026-02-15 15:53:20] [IP:::1] [USER:28] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d9eb08f59096e59a601a8834c8b3bf59f74f94252b51c7678489ed2596c12c73, Got: 
[2026-02-15 15:53:21] [IP:::1] [USER:28] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d9eb08f59096e59a601a8834c8b3bf59f74f94252b51c7678489ed2596c12c73, Got: 
[2026-02-15 15:53:22] [IP:::1] [USER:28] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d9eb08f59096e59a601a8834c8b3bf59f74f94252b51c7678489ed2596c12c73, Got: 
[2026-02-15 16:42:31] [IP:::1] [USER:18] [EVENT:CSRF_FAILURE] Invalid token provided. Expected: d9eb08f59096e59a601a8834c8b3bf59f74f94252b51c7678489ed2596c12c73, Got: 
